date,state,total,phase2,mysj,call,web,children,children_solo,adolescents,elderly,comorb,oku
2021-07-09,Perak,1275199,494418,1152926,1548,120725,0,0,56917,297935,368367,25952
2021-07-09,Perlis,141577,56981,126482,176,14919,0,0,7567,28403,45801,3843
2021-07-09,Pulau Pinang,1103696,356090,1061602,803,41291,0,0,47568,206587,254340,22499
2021-07-09,Sabah,933550,277395,853110,304,80136,0,0,36174,129897,216665,13128
2021-07-09,Sarawak,1700372,544375,1403608,490,296274,0,0,93887,287523,404847,23183
2021-07-09,Selangor,4291643,1187459,4170074,2618,118951,0,0,279912,565058,914454,75991
2021-07-09,Terengganu,534429,170563,468947,314,65168,0,0,30210,83011,135823,11213
2021-07-09,W.P. Kuala Lumpur,1621157,453813,1580049,1199,39909,0,0,86972,238651,331084,29887
2021-07-09,W.P. Labuan,58988,17191,53604,20,5364,0,0,3589,6042,14017,1181
2021-07-09,W.P. Putrajaya,86115,21976,84535,33,1547,0,0,8744,4853,19523,1564
2021-07-10,Johor,2239673,707951,2053943,1211,184519,0,0,125589,395954,513922,45093
2021-07-10,Kedah,1039879,375056,947134,931,91814,0,0,50130,199078,290527,23477
2021-07-10,Kelantan,683982,242044,582848,451,100683,0,0,31865,129297,187424,14551
2021-07-10,Melaka,566482,196501,538157,499,27826,0,0,33005,105087,151428,15609
2021-07-10,Negeri Sembilan,719549,255543,677870,662,41017,0,0,42718,135509,199645,16749
2021-07-10,Pahang,824135,281600,688455,634,135046,0,0,43437,152877,211868,18105
2021-07-10,Perak,1284342,497193,1161242,1545,121555,0,0,57803,299239,370406,26198
2021-07-10,Perlis,142518,57274,127447,176,14895,0,0,7663,28501,46037,3872
2021-07-10,Pulau Pinang,1110141,357937,1068242,800,41099,0,0,48281,207306,255661,22780
2021-07-10,Sabah,939380,278689,858862,304,80214,0,0,36641,130420,217665,13230
2021-07-10,Sarawak,1705120,545215,1409357,485,295278,0,0,94525,287825,405401,23353
2021-07-10,Selangor,4320485,1193439,4200218,2595,117672,0,0,283311,566764,918520,77589
2021-07-10,Terengganu,539081,171694,473018,317,65746,0,0,30803,83434,136738,11309
2021-07-10,W.P. Kuala Lumpur,1631369,455617,1590623,1191,39555,0,0,87849,239171,332263,30378
2021-07-10,W.P. Labuan,59096,17202,53726,20,5350,0,0,3606,6048,14023,1182
2021-07-10,W.P. Putrajaya,86700,22072,85136,33,1531,0,0,8844,4864,19608,1572
2021-07-11,Johor,2253169,711354,2066540,1190,185439,0,0,127848,397444,516482,45433
2021-07-11,Kedah,1050012,378181,957250,919,91843,0,0,51118,200507,292855,23888
2021-07-11,Kelantan,689538,243649,588277,450,100811,0,0,32267,130097,188620,14727
2021-07-11,Melaka,570251,197352,542110,491,27650,0,0,33616,105349,152031,15809
2021-07-11,Negeri Sembilan,728951,257760,687589,653,40709,0,0,43940,136184,201253,17223
2021-07-11,Pahang,827539,282433,692633,629,134277,0,0,43890,153181,212503,18214
2021-07-11,Perak,1293527,499649,1169960,1532,122035,0,0,58716,300382,372153,26438
2021-07-11,Perlis,143388,57534,128343,173,14872,0,0,7752,28598,46254,3900
2021-07-11,Pulau Pinang,1116039,359465,1074391,795,40853,0,0,48953,207855,256754,23057
2021-07-11,Sabah,944992,279996,864389,300,80303,0,0,37041,130963,218687,13309
2021-07-11,Sarawak,1710005,545954,1415150,482,294373,0,0,95322,288116,405899,23489
2021-07-11,Selangor,4351483,1199935,4232544,2544,116395,0,0,286981,568458,922729,79639
2021-07-11,Terengganu,544731,172916,478053,312,66366,0,0,31471,83940,137670,11462
2021-07-11,W.P. Kuala Lumpur,1645976,458035,1605666,1174,39136,0,0,88927,239712,333786,31254
2021-07-11,W.P. Labuan,59209,17214,53844,20,5345,0,0,3625,6051,14032,1185
2021-07-11,W.P. Putrajaya,87120,22137,85569,33,1518,0,0,8913,4877,19657,1583
2021-07-12,Johor,2267092,714611,2079138,1182,186772,0,0,129782,398794,518819,45837
2021-07-12,Kedah,1060577,381322,967756,906,91915,0,0,52057,201864,295319,24229
2021-07-12,Kelantan,694661,245005,593357,446,100858,0,0,32688,130738,189615,14863
2021-07-12,Melaka,574597,198453,546449,481,27667,0,0,34117,105730,152866,16028
2021-07-12,Negeri Sembilan,737942,260105,696543,642,40757,0,0,44909,136910,202860,17819
2021-07-12,Pahang,832057,283512,697585,620,133852,0,0,44356,153573,213362,18305
2021-07-12,Perak,1306071,503249,1180345,1518,124208,0,0,59724,302082,374789,26750
2021-07-12,Perlis,144552,57927,129440,172,14940,0,0,8043,28764,46548,3951
2021-07-12,Pulau Pinang,1124735,361580,1083248,786,40701,0,0,49730,208712,258238,23474
2021-07-12,Sabah,952073,281592,871169,293,80611,0,0,37389,131584,219900,13408
2021-07-12,Sarawak,1715834,547047,1421831,478,293525,0,0,96178,288438,406738,23658
2021-07-12,Selangor,4390632,1207526,4272382,2510,115740,0,0,290275,570334,927966,81765
2021-07-12,Terengganu,550454,174232,483012,312,67130,0,0,32016,84484,138690,11605
2021-07-12,W.P. Kuala Lumpur,1662392,460741,1622249,1162,38981,0,0,89839,240317,335540,32117
2021-07-12,W.P. Labuan,59329,17225,53975,20,5334,0,0,3635,6060,14034,1187
2021-07-12,W.P. Putrajaya,87609,22225,86058,33,1518,0,0,8953,4889,19731,1600
2021-07-13,Johor,2279665,717574,2089832,1178,188655,0,0,131734,400038,520876,46193
2021-07-13,Kedah,1070461,384376,977274,896,92291,0,0,52950,203123,297642,24560
2021-07-13,Kelantan,699580,246358,597827,443,101310,0,0,33092,131403,190599,14970
