date,state,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
2021-03-10,Johor,1640,1,1641,0,0,17597,6,17603,0,0,1640,1,0,0,0,0,0,0
2021-03-10,Kedah,2584,0,2584,0,0,14321,4,14325,0,0,2584,0,0,0,0,0,0,0
2021-03-10,Kelantan,798,0,798,0,0,15612,0,15612,0,0,798,0,0,0,0,0,0,0
2021-03-10,Melaka,894,0,894,0,0,6124,0,6124,0,0,894,0,0,0,0,0,0,0
2021-03-10,Negeri Sembilan,2360,0,2360,0,0,10787,1,10788,0,0,2360,0,0,0,0,0,0,0
2021-03-10,Pahang,1094,0,1094,0,0,17568,2,17570,0,0,1094,0,0,0,0,0,0,0
2021-03-10,Perak,1523,0,1523,0,0,17198,1,17199,0,0,1523,0,0,0,0,0,0,0
2021-03-10,Perlis,1086,0,1086,0,0,5255,1,5256,0,0,1086,0,0,0,0,0,0,0
2021-03-10,Pulau Pinang,2138,0,2138,0,0,10040,9,10049,0,0,2138,0,0,0,0,0,0,0
2021-03-10,Sabah,2894,1,2895,0,0,20873,7,20880,0,0,2894,1,0,0,0,0,0,0
2021-03-10,Sarawak,684,0,684,0,0,26627,15,26642,0,0,684,0,0,0,0,0,0,0
2021-03-10,Selangor,4875,0,4875,0,0,24351,9,24360,0,0,4875,0,0,0,0,0,0,0
2021-03-10,Terengganu,1820,0,1820,0,0,13555,2,13557,0,0,1820,0,0,0,0,0,0,0
2021-03-10,W.P. Kuala Lumpur,3807,0,3807,0,0,20841,2,20843,0,0,3807,0,0,0,0,0,0,0
2021-03-10,W.P. Labuan,126,0,126,0,0,2375,2,2377,0,0,126,0,0,0,0,0,0,0
2021-03-10,W.P. Putrajaya,396,0,396,0,0,3340,0,3340,0,0,396,0,0,0,0,0,0,0
2021-03-11,Johor,2103,0,2103,0,0,19700,6,19706,0,0,2103,0,0,0,0,0,0,0
2021-03-11,Kedah,1643,0,1643,0,0,15964,4,15968,0,0,1643,0,0,0,0,0,0,0
2021-03-11,Kelantan,356,0,356,0,0,15968,0,15968,0,0,356,0,0,0,0,0,0,0
